model,accuracy,f1_score,roc_auc
random_forest,0.97165,0.8046848088184636,0.9675520411443267
svm,0.88685,0.5688702610020956,0.962192349726776
logistic_regression,0.8865,0.5682769113731457,0.9621482160077146
